Family,Solveur,Runs,Mean_T_total,Median_T_total,Q1_T_total,Q3_T_total,Mean_T_solve,Median_T_solve,Success_Rate,OPT_Rate,Timeout_Rate,Error_Rate
optimisation,Gecode,5,1.1072966652001923,0.26598694799986333,0.21020236700042005,0.412750762000087,1.0858,0.248,1.0,1.0,0.0,0.0
optimisation,Chuffed,5,0.396738555200136,0.3443496730001243,0.20987920700008544,0.38308836300029725,0.0964,0.063,1.0,1.0,0.0,0.0
optimisation,OR Tools CP-SAT,5,0.6134983330000068,0.3916829740001049,0.2806097170000612,0.6441872780001177,0.2520224,0.123264,1.0,1.0,0.0,0.0
optimisation,COIN-BC,5,1.538151917400046,0.9134918670001753,0.6369404810002379,1.786004862000027,1.50774,0.89,1.0,1.0,0.0,0.0
optimisation,HiGHS,5,1.4382474852001905,1.2030534690002241,1.1324419380002837,2.1930006259999573,0.80496,0.8565,1.0,1.0,0.0,0.0
satisfaction,Gecode,5,0.9399026876000789,0.2691293000002588,0.20490664499993727,0.3975817800001096,0.9166000000000001,0.251,1.0,0.0,0.0,0.0
satisfaction,Chuffed,5,0.3717362956000215,0.2902515350001522,0.2300604380002369,0.37275152599977446,0.0766,0.06,1.0,0.0,0.0,0.0
satisfaction,OR Tools CP-SAT,5,0.5741071847999593,0.3926603630002319,0.2835973279998143,0.6293359629999031,0.5496000000000001,0.373,1.0,0.0,0.0,0.0
satisfaction,HiGHS,5,1.154252309200001,0.8279574079997474,0.6634816739997405,1.1410783810001703,0.46327999999999997,0.3776,1.0,0.0,0.0,0.0
satisfaction,COIN-BC,5,1.448401713400108,0.8618887339998764,0.548588792999908,1.9707415510001738,0.79308,0.3103,1.0,0.0,0.0,0.0
