Solveur,A,Runs,Median_T_total,Mean_T_total,Median_T_solve,Mean_T_solve,Success_Rate
COIN-BC,3,2,0.36121666600001845,0.36121666600001845,0.2304,0.2304,1.0
COIN-BC,4,2,0.592764637000073,0.592764637000073,0.40104999999999996,0.40104999999999996,1.0
COIN-BC,5,2,0.8876903005000258,0.8876903005000258,0.60015,0.60015,1.0
COIN-BC,6,2,1.8783732065001004,1.8783732065001004,1.43245,1.43245,1.0
COIN-BC,8,2,3.7463392670001667,3.7463392670001667,3.088,3.088,1.0
Chuffed,3,2,0.15663545800020984,0.15663545800020984,0.008,0.008,1.0
Chuffed,4,2,0.21996982250016117,0.21996982250016117,0.0185,0.0185,1.0
Chuffed,5,2,0.31730060400013826,0.31730060400013826,0.0825,0.0825,1.0
Chuffed,6,2,0.37791994450003585,0.37791994450003585,0.0615,0.0615,1.0
Chuffed,8,2,0.8493612979998488,0.8493612979998488,0.262,0.262,1.0
Gecode,3,2,0.1706709720001527,0.1706709720001527,0.1585,0.1585,1.0
Gecode,4,2,0.20755450600017866,0.20755450600017866,0.192,0.192,1.0
Gecode,5,2,0.26755812400006107,0.26755812400006107,0.2495,0.2495,1.0
Gecode,6,2,0.4051662710000983,0.4051662710000983,0.382,0.382,1.0
Gecode,8,2,4.0670485090001876,4.0670485090001876,4.024,4.024,1.0
HiGHS,3,2,0.32251476650026234,0.32251476650026234,0.09505,0.09505,1.0
HiGHS,4,2,0.9332675714999823,0.9332675714999823,0.5627,0.5627,1.0
HiGHS,5,2,0.9801996730000155,0.9801996730000155,0.5231,0.5231,1.0
HiGHS,6,2,1.6670395035000638,1.6670395035000638,0.9615,0.9615,1.0
HiGHS,8,2,2.578227971500155,2.578227971500155,1.0282499999999999,1.0282499999999999,1.0
OR Tools CP-SAT,3,2,0.20935301899999104,0.20935301899999104,0.12066349999999999,0.12066349999999999,1.0
OR Tools CP-SAT,4,2,0.28210352249993775,0.28210352249993775,0.16789400000000002,0.16789400000000002,1.0
OR Tools CP-SAT,5,2,0.3921716685001684,0.3921716685001684,0.248132,0.248132,1.0
OR Tools CP-SAT,6,2,0.6367616205000104,0.6367616205000104,0.428251,0.428251,1.0
OR Tools CP-SAT,8,2,1.4486239639998075,1.4486239639998075,1.0391155,1.0391155,1.0
